year,geo,value
2020,ABW,0
2020,AFG,0
2020,AGO,1
2020,AIA,0
2020,ALA,0
2020,ALB,0
2020,AND,0
2020,ARG,1
2020,ARM,0
2020,ASM,1
2020,ATF,0
2020,ATG,0
2020,AUS,1
2020,AUT,1
2020,AZE,0
2020,BDI,1
2020,BEL,1
2020,BEN,1
2020,BES,0
2020,BFA,1
2020,BGD,1
2020,BGR,0
2020,BHS,1
2020,BIH,0
2020,BLM,0
2020,BLR,0
2020,BLZ,1
2020,BMU,0
2020,BOL,1
2020,BRA,1
2020,BRB,0
2020,BRN,1
2020,BTN,1
2020,BWA,1
2020,CAF,1
2020,CAN,1
2020,CHE,1
2020,CHL,1
2020,CHN,1
2020,CIV,1
2020,CMR,1
2020,COD,1
2020,COG,1
2020,COL,1
2020,COM,1
2020,CPV,1
2020,CRI,1
2020,CUB,0
2020,CUW,1
2020,CYM,0
2020,CYP,0
2020,CZE,1
2020,DEU,1
2020,DJI,0
2020,DMA,0
2020,DNK,1
2020,DOM,1
2020,DZA,1
2020,ECU,1
2020,EGY,0
2020,ERI,0
2020,ESH,1
2020,ESP,1
2020,EST,1
2020,ETH,1
2020,FIN,1
2020,FJI,1
2020,FLK,0
2020,FRA,1
2020,FSM,1
2020,GAB,1
2020,GBR,1
2020,GEO,0
2020,GGY,0
2020,GHA,1
2020,GIB,0
2020,GIN,1
2020,GLP,0
2020,GMB,1
2020,GNB,0
2020,GNQ,1
2020,GRC,1
2020,GRD,0
2020,GTM,1
2020,GUF,1
2020,GUM,1
2020,GUY,1
2020,HND,1
2020,HRV,0
2020,HTI,0
2020,HUN,1
2020,IDN,1
2020,IMN,0
2020,IND,1
2020,IRL,1
2020,IRN,1
2020,IRQ,0
2020,ISL,1
2020,ISR,1
2020,ITA,1
2020,JAM,1
2020,JEY,0
2020,JOR,0
2020,JPN,1
2020,KAZ,0
2020,KEN,1
2020,KGZ,1
2020,KHM,1
2020,KNA,0
2020,KOR,1
2020,LAO,1
2020,LBN,1
2020,LBR,0
2020,LBY,0
2020,LCA,1
2020,LIE,1
2020,LKA,1
2020,LSO,0
2020,LTU,1
2020,LUX,1
2020,LVA,1
2020,MAF,0
2020,MAR,1
2020,MCO,0
2020,MDA,0
2020,MDG,1
2020,MDV,0
2020,MEX,1
2020,MHL,1
2020,MKD,0
2020,MLI,1
2020,MLT,0
2020,MMR,1
2020,MNE,1
2020,MNG,1
2020,MNP,1
2020,MOZ,1
2020,MRT,1
2020,MSR,0
2020,MTQ,0
2020,MUS,0
2020,MWI,1
2020,MYS,1
2020,MYT,0
2020,NAM,1
2020,NCL,1
2020,NER,1
2020,NGA,1
2020,NIC,1
2020,NIU,1
2020,NLD,1
2020,NOR,1
2020,NPL,1
2020,NZL,1
2020,OMN,1
2020,PAK,1
2020,PAN,1
2020,PER,1
2020,PHL,1
2020,PLW,1
2020,PNG,1
2020,POL,1
2020,PRI,1
2020,PRK,0
2020,PRT,1
2020,PRY,1
2020,PSE,0
2020,REU,0
2020,ROU,1
2020,RUS,1
2020,RWA,1
2020,SAU,1
2020,SDN,1
2020,SEN,1
2020,SGP,1
2020,SLB,1
2020,SLE,0
2020,SLV,1
2020,SMR,0
2020,SOM,0
2020,SPM,1
2020,SRB,1
2020,SSD,0
2020,STP,1
2020,SUR,1
2020,SVK,1
2020,SVN,1
2020,SWE,1
2020,SWZ,1
2020,SXM,1
2020,SYC,0
2020,SYR,0
2020,TCA,0
2020,TCD,1
2020,TGO,1
2020,THA,1
2020,TJK,0
2020,TKM,0
2020,TLS,1
2020,TON,1
2020,TTO,1
2020,TUN,1
2020,TUR,1
2020,TWN,0
2020,TZA,1
2020,UGA,1
2020,UKR,0
2020,UMI,0
2020,URY,0
2020,USA,1
2020,UZB,0
2020,VCT,1
2020,VEN,0
2020,VGB,0
2020,VIR,1
2020,VNM,1
2020,VUT,1
2020,WLD,67
2020,WSM,1
2020,XAD,0
2020,XKO,0
2020,YEM,1
2020,ZAF,0
2020,ZMB,1
2020,ZNC,0
2020,ZWE,1
