year,geo,disagg,value
2016,WLD,Total,16.9
2017,WLD,Total,32.2
2018,WLD,Total,45.3
2019,WLD,Total,47.8
2020,WLD,Total,56.8
2019,FRA,General budget allocation,9.30794
2019,JPN,Specific earmarking,2.37703
2019,SWE,General budget allocation,2.28851
2019,CAN,Tax exemptions,0.196811
2019,CAN,Direct transfers,1.7713
2019,FIN,General budget,0.919269
2019,FIN,Tax exemptions,0.919269
2019,NOR,General budget,0.978532
2019,NOR,Specific earmarking,0.62986
2019,CHE,Direct transfers,0.808817
2019,CHE,Specific earmarking,0.398372
2019,GBR,General budget,0.980869
2019,GBR,Tax exemptions,0.173095
2019,DNK,General budget,0.253711
2019,DNK,Tax exemptions,0.242915
2019,DNK,Specific earmarking,0.043185
2019,IRL,General budget,0.419766
2019,IRL,Specific earmarking,0.068334
2019,PRT,General budget,0.335706
2019,MEX,General budget,0.306589
2019,ARG,General budget,0.062447
2019,ARG,Specific earmarking,0.237178
2019,CHL,General budget,0.1655
2019,COL,Specific earmarking,0.144855
2019,SVN,Tax exemptions,0.058481
2019,SVN,Direct transfers,0.045949
2019,ISL,General budget,0.048863
2019,LVA,General budget,0.011351
2019,POL,General budget,0.002209
2019,POL,Specific earmarking,0.005155
2019,LIE,Tax exemptions,0.004763
2019,LIE,Direct transfers,0.002097
2019,UKR,General budget,0.00264
2019,UKR,Specific earmarking,0.00136
2019,EST,Specific earmarking,0.003065
2019,EUU,General budget,3.50389
2019,EUU,Specific earmarking,14.0156
2019,NZL,General budget,0.287483
2019,KOR,Specific earmarking,0.16891
2019,CHE,General budget,0.008546
2020,FRA,General budget,8.3286
2020,JPN,Specific earmarking,6.18359
2020,CAN,Tax exemptions,0.322531
2020,CAN,Direct transfers,2.90278
2020,SWE,General budget,2.2661
2020,FIN,General budget,0.87472
2020,FIN,Tax exemptions,0.87472
2020,NOR,General budget,0.927529
2020,NOR,Specific earmarking,0.59703
2020,CHE,Direct transfers,0.910164
2020,CHE,Specific earmarking,0.44829
2020,GBR,General budget,0.713477
2020,GBR,Tax exemptions,0.125908
2020,IRL,General budget,0.48938
2020,IRL,Specific earmarking,0.163127
2020,PRT,General budget,0.590581
2020,DNK,General budget,0.242755
2020,DNK,Tax exemptions,0.232425
2020,DNK,Specific earmarking,0.04132
2020,MEX,General budget,0.216565
2020,CHL,General budget,0.16
2020,SGP,Specific earmarking,0.15121
2020,ARG,General budget,0.025022
2020,ARG,Specific earmarking,0.095034
2020,COL,Specific earmarking,0.079236
2020,ISL,General budget,0.039785
2020,ZAF,General budget,0.038189
2020,UKR,General budget,0.020106
2020,UKR,Specific earmarking,0.010358
2020,LIE,Direct transfers,0.006711
2020,LIE,Specific earmarking,0.000746
2020,POL,General budget,0.002168
2020,POL,Specific earmarking,0.005058
2020,LVA,General budget,0.005791
2020,EST,Specific earmarking,0.003127
2020,EUU,General budget,5.46437
2020,EUU,Specific earmarking,18.2938
2020,CAN,Tax exemptions,0.020322
2020,CAN,Direct transfers,0.182901
2020,NZL,General budget,0.141366
2020,KOR,Specific earmarking,0.121339
2020,CHE,General budget,0.016451
2018,FRA,General budget allocation,6.98
2018,FRA,Earmarking,2.582
2018,SWE,General budget allocation,2.737
2018,JPN,Earmarking,2.376
2018,FIN,General budget allocation,0.884
2018,FIN,Tax exemptions,0.884
2018,GBR,General budget allocation,1.05
2018,GBR,Tax exemptions,0.185
2018,CHE,Direct transfers,0.822
2018,CHE,Earmarking,0.405
2018,EUU,Earmarking,13.403
2018,EUU,General budget allocation,3.351
2017,FRA,General budget allocation,4.657
2017,FRA,Earmarking,1.723
2017,SWE,General budget allocation,2.927
2017,JPN,Earmarking,2.471
2017,NOR,General budget allocation,2.089
2017,FIN,General budget allocation,0.654
2017,FIN,Tax exemptions,0.654
2017,GBR,General budget allocation,1.074
2017,GBR,Tax exemptions,0.189
2017,CHE,Direct transfers,0.747
2017,CHE,Earmarking,0.368
2017,IRL,General budget allocation,0.458
2017,IRL,Earmarking,0.075
2017,MEX,General budget allocation,0.477
2017,DNK,General budget allocation,0.194
2017,DNK,Tax exemptions,0.185
2017,DNK,Earmarking,0.033
2017,COL,Earmarking,0.171
2017,CHL,General budget allocation,0.16
2017,PRT,General budget allocation,0.133
2017,EUU,Earmarking,5.424
2017,EUU,General budget allocation,1.356
