year,geo,disagg,value,projections,benchmark_low,benchmark_mid,benchmark_high
2001,WLD,Total,1.7,,,,
2002,WLD,Total,4.4,,,,
2003,WLD,Total,4.3,,,,
2004,WLD,Total,6.0,,,,
2005,WLD,Total,5.7,,,,
2006,WLD,Total,4.8,,,,
2007,WLD,Total,4.6,,,,
2008,WLD,Total,4.4,,,,
2009,WLD,Total,4.0,,,,
2010,WLD,Total,4.8,,,,
2011,WLD,Total,4.3,,,,
2012,WLD,Total,6.2,,,,
2013,WLD,Total,6.1,,,,
2014,WLD,Total,6.4,,,,
2015,WLD,Total,5.2,,,,
2016,WLD,Total,8.9,,,,
2017,WLD,Total,7.9,,,,
2018,WLD,Total,5.9,,,,
2019,WLD,Total,5.9,,,,
2020,WLD,Total,6.3,,,,
2021,WLD,Total,6.8,,,,
2022,WLD,Total,6.7,,,,
2023,WLD,Total,8.4,,,,
2024,WLD,Total,11,,,,
2025,WLD,Total,7.7,,,,
2030,WLD,Total,,8.46,,,
2001,WLD,Boreal coniferous forest,0.25,,,,
2002,WLD,Boreal coniferous forest,0.94,,,,
2003,WLD,Boreal coniferous forest,1.1,,,,
2004,WLD,Boreal coniferous forest,0.71,,,,
2005,WLD,Boreal coniferous forest,0.63,,,,
2006,WLD,Boreal coniferous forest,0.8,,,,
2007,WLD,Boreal coniferous forest,0.86,,,,
2008,WLD,Boreal coniferous forest,0.73,,,,
2009,WLD,Boreal coniferous forest,0.39,,,,
2010,WLD,Boreal coniferous forest,0.46,,,,
2011,WLD,Boreal coniferous forest,0.86,,,,
2012,WLD,Boreal coniferous forest,1.5,,,,
2013,WLD,Boreal coniferous forest,1.9,,,,
2014,WLD,Boreal coniferous forest,1.4,,,,
2015,WLD,Boreal coniferous forest,0.89,,,,
2016,WLD,Boreal coniferous forest,1.1,,,,
2017,WLD,Boreal coniferous forest,1.6,,,,
2018,WLD,Boreal coniferous forest,1.3,,,,
2019,WLD,Boreal coniferous forest,0.96,,,,
2020,WLD,Boreal coniferous forest,1.2,,,,
2021,WLD,Boreal coniferous forest,2.5,,,,
2022,WLD,Boreal coniferous forest,1.2,,,,
2023,WLD,Boreal coniferous forest,1.6,,,,
2024,WLD,Boreal coniferous forest,1.2,,,,
2025,WLD,Boreal coniferous forest,2.1,,,,
2001,WLD,Boreal mountain system,0.15,,,,
2002,WLD,Boreal mountain system,0.28,,,,
2003,WLD,Boreal mountain system,0.33,,,,
2004,WLD,Boreal mountain system,1.1,,,,
2005,WLD,Boreal mountain system,1,,,,
2006,WLD,Boreal mountain system,0.66,,,,
2007,WLD,Boreal mountain system,0.41,,,,
2008,WLD,Boreal mountain system,0.52,,,,
2009,WLD,Boreal mountain system,0.38,,,,
2010,WLD,Boreal mountain system,0.51,,,,
2011,WLD,Boreal mountain system,0.32,,,,
2012,WLD,Boreal mountain system,0.64,,,,
2013,WLD,Boreal mountain system,0.74,,,,
2014,WLD,Boreal mountain system,0.44,,,,
2015,WLD,Boreal mountain system,0.75,,,,
2016,WLD,Boreal mountain system,1.2,,,,
2017,WLD,Boreal mountain system,0.6,,,,
2018,WLD,Boreal mountain system,0.46,,,,
2019,WLD,Boreal mountain system,0.81,,,,
2020,WLD,Boreal mountain system,0.71,,,,
2021,WLD,Boreal mountain system,0.26,,,,
2022,WLD,Boreal mountain system,0.72,,,,
2023,WLD,Boreal mountain system,0.9,,,,
2024,WLD,Boreal mountain system,1.4,,,,
2025,WLD,Boreal mountain system,0.65,,,,
2001,WLD,Boreal tundra woodland,0.24,,,,
2002,WLD,Boreal tundra woodland,0.49,,,,
2003,WLD,Boreal tundra woodland,0.26,,,,
2004,WLD,Boreal tundra woodland,0.59,,,,
2005,WLD,Boreal tundra woodland,0.61,,,,
2006,WLD,Boreal tundra woodland,0.41,,,,
2007,WLD,Boreal tundra woodland,0.3,,,,
2008,WLD,Boreal tundra woodland,0.32,,,,
2009,WLD,Boreal tundra woodland,0.35,,,,
2010,WLD,Boreal tundra woodland,0.41,,,,
2011,WLD,Boreal tundra woodland,0.31,,,,
2012,WLD,Boreal tundra woodland,0.34,,,,
2013,WLD,Boreal tundra woodland,0.73,,,,
2014,WLD,Boreal tundra woodland,0.9,,,,
2015,WLD,Boreal tundra woodland,0.58,,,,
2016,WLD,Boreal tundra woodland,0.34,,,,
2017,WLD,Boreal tundra woodland,0.5,,,,
2018,WLD,Boreal tundra woodland,0.23,,,,
2019,WLD,Boreal tundra woodland,0.21,,,,
2020,WLD,Boreal tundra woodland,0.081,,,,
2021,WLD,Boreal tundra woodland,0.25,,,,
2022,WLD,Boreal tundra woodland,0.49,,,,
2023,WLD,Boreal tundra woodland,2,,,,
2024,WLD,Boreal tundra woodland,1.2,,,,
2025,WLD,Boreal tundra woodland,0.55,,,,
2001,WLD,Polar,0.002,,,,
2002,WLD,Polar,0.00017,,,,
2003,WLD,Polar,0.00027,,,,
2004,WLD,Polar,0.00025,,,,
2005,WLD,Polar,0.00018,,,,
2006,WLD,Polar,0.0013,,,,
2007,WLD,Polar,0.00032,,,,
2008,WLD,Polar,0.00017,,,,
2009,WLD,Polar,0.000078,,,,
2010,WLD,Polar,0.000085,,,,
2011,WLD,Polar,0.00027,,,,
2012,WLD,Polar,0.00019,,,,
2013,WLD,Polar,0.0013,,,,
2014,WLD,Polar,0.00081,,,,
2015,WLD,Polar,0.0012,,,,
2016,WLD,Polar,0.006,,,,
2017,WLD,Polar,0.0012,,,,
2018,WLD,Polar,0.00089,,,,
2019,WLD,Polar,0.00075,,,,
2020,WLD,Polar,0.00014,,,,
2021,WLD,Polar,0.000023,,,,
2022,WLD,Polar,0.0045,,,,
2023,WLD,Polar,0.0028,,,,
2024,WLD,Polar,0.0045,,,,
2025,WLD,Polar,0.00041,,,,
2002,WLD,Subtropical desert,0.00000014,,,,
2003,WLD,Subtropical desert,0.00000082,,,,
2007,WLD,Subtropical desert,0.00000036,,,,
2020,WLD,Subtropical desert,0.00000021,,,,
2021,WLD,Subtropical desert,0.0000098,,,,
2022,WLD,Subtropical desert,0.0000014,,,,
2024,WLD,Subtropical desert,0.00000086,,,,
2025,WLD,Subtropical desert,0.000000072,,,,
2001,WLD,Subtropical dry forest,0.000019,,,,
2002,WLD,Subtropical dry forest,0.000089,,,,
2003,WLD,Subtropical dry forest,0.000056,,,,
2004,WLD,Subtropical dry forest,0.00012,,,,
2005,WLD,Subtropical dry forest,0.00018,,,,
2006,WLD,Subtropical dry forest,0.00014,,,,
2007,WLD,Subtropical dry forest,0.000076,,,,
2008,WLD,Subtropical dry forest,0.00007,,,,
2009,WLD,Subtropical dry forest,0.000063,,,,
2010,WLD,Subtropical dry forest,0.00006,,,,
2011,WLD,Subtropical dry forest,0.00004,,,,
2012,WLD,Subtropical dry forest,0.000044,,,,
2013,WLD,Subtropical dry forest,0.000097,,,,
2014,WLD,Subtropical dry forest,0.000077,,,,
2015,WLD,Subtropical dry forest,0.000082,,,,
2016,WLD,Subtropical dry forest,0.000069,,,,
2017,WLD,Subtropical dry forest,0.00075,,,,
2018,WLD,Subtropical dry forest,0.00022,,,,
2019,WLD,Subtropical dry forest,0.00015,,,,
2020,WLD,Subtropical dry forest,0.00012,,,,
2021,WLD,Subtropical dry forest,0.00013,,,,
2022,WLD,Subtropical dry forest,0.00008,,,,
2023,WLD,Subtropical dry forest,0.000031,,,,
2024,WLD,Subtropical dry forest,0.000054,,,,
2025,WLD,Subtropical dry forest,0.000063,,,,
2001,WLD,Subtropical humid forest,0.0014,,,,
2002,WLD,Subtropical humid forest,0.0025,,,,
2003,WLD,Subtropical humid forest,0.0028,,,,
2004,WLD,Subtropical humid forest,0.0037,,,,
2005,WLD,Subtropical humid forest,0.0041,,,,
2006,WLD,Subtropical humid forest,0.003,,,,
2007,WLD,Subtropical humid forest,0.0021,,,,
2008,WLD,Subtropical humid forest,0.0028,,,,
2009,WLD,Subtropical humid forest,0.0048,,,,
2010,WLD,Subtropical humid forest,0.0024,,,,
2011,WLD,Subtropical humid forest,0.0021,,,,
2012,WLD,Subtropical humid forest,0.0021,,,,
2013,WLD,Subtropical humid forest,0.0021,,,,
