year,geo,disagg,value,projections,benchmark_low,benchmark_mid,benchmark_high
2010,WLD,Total,0.00087,,,,
2011,WLD,Total,0.0039,,,,
2012,WLD,Total,0.00061,,,,
2013,WLD,Total,0.00082,,,,
2014,WLD,Total,0.0012,,,,
2015,WLD,Total,0.42,,,,
2016,WLD,Total,1,,,,
2017,WLD,Total,1.4,,,,
2018,WLD,Total,0.72,,,,
2019,WLD,Total,0.53,,,,
2020,WLD,Total,0.36,,,,
2021,WLD,Total,0.28,,,,
2022,WLD,Total,0.76,,,,
2023,WLD,Total,1.1,,,,
2024,WLD,Total,1.8,,,,
2025,WLD,Total,,2.2,,5,
2026,WLD,Total,,2.5,,9,
2027,WLD,Total,,2.9,,14,
2028,WLD,Total,,,,20,
2029,WLD,Total,,,,28,
2030,WLD,Total,,,,37,
2031,WLD,Total,,,,45,
2032,WLD,Total,,,,51,
2033,WLD,Total,,,,56,
2034,WLD,Total,,,,60.5,
2035,WLD,Total,,,,65,
2036,WLD,Total,,,,70,
2037,WLD,Total,,,,74,
2038,WLD,Total,,,,78,
2039,WLD,Total,,,,82,
2040,WLD,Total,,,,86,
2041,WLD,Total,,,,89,
2042,WLD,Total,,,,91,
2043,WLD,Total,,,,93,
2044,WLD,Total,,,,94.5,
2045,WLD,Total,,,,96,
2046,WLD,Total,,,,97.3,
2047,WLD,Total,,,,98.5,
2048,WLD,Total,,,,99,
2049,WLD,Total,,,,99.5,
2050,WLD,Total,,,,100,
2010,WLD,BEVs,0.00073,,,,
2011,WLD,BEVs,0.0030,,,,
2012,WLD,BEVs,0.00049,,,,
2013,WLD,BEVs,0.00069,,,,
2014,WLD,BEVs,0.00090,,,,
2015,WLD,BEVs,0.31,,,,
2016,WLD,BEVs,0.81,,,,
2017,WLD,BEVs,1.2,,,,
2018,WLD,BEVs,0.60,,,,
2019,WLD,BEVs,0.41,,,,
2020,WLD,BEVs,0.29,,,,
2021,WLD,BEVs,0.31,,,,
2022,WLD,BEVs,0.73,,,,
2023,WLD,BEVs,0.90,,,,
2010,WLD,FCEVs,0,,,,
2011,WLD,FCEVs,0,,,,
2012,WLD,FCEVs,0,,,,
2013,WLD,FCEVs,0,,,,
2014,WLD,FCEVs,0,,,,
2015,WLD,FCEVs,0,,,,
2016,WLD,FCEVs,0,,,,
2017,WLD,FCEVs,0,,,,
2018,WLD,FCEVs,0.0065,,,,
2019,WLD,FCEVs,0.033,,,,
2020,WLD,FCEVs,0.023,,,,
2021,WLD,FCEVs,0.020,,,,
2022,WLD,FCEVs,0.053,,,,
2023,WLD,FCEVs,0.061,,,,
2010,WLD,PHEVs,0,,,,
