year,geo,disagg_type,disagg,value
2000,WLD,All,Total,1.1
2001,WLD,All,Total,1.2
2002,WLD,All,Total,1.2
2003,WLD,All,Total,1.2
2004,WLD,All,Total,1.2
2005,WLD,All,Total,1.3
2006,WLD,All,Total,2.3
2007,WLD,All,Total,2.6
2008,WLD,All,Total,2.6
2009,WLD,All,Total,2.7
2010,WLD,All,Total,3
2011,WLD,All,Total,3
2012,WLD,All,Total,3.4
2013,WLD,All,Total,3.5
2014,WLD,All,Total,3.9
2015,WLD,All,Total,4.1
2016,WLD,All,Total,4.7
2017,WLD,All,Total,6
2018,WLD,All,Total,7.2
2019,WLD,All,Total,7.5
2020,WLD,All,Total,8
2021,WLD,All,Total,8
2022,WLD,All,Total,8.3
2023,WLD,All,Total,8.4
2024,WLD,Area,Marine Protected Areas,8.3
2024,WLD,Area,OECM,0.1
2024,WLD,Biome,Saltmarsh,50
2024,WLD,Biome,Seagrass,24
2024,WLD,Biome,Warmwater-corals,42
2024,WLD,Biome,Mangroves,42
2024,WLD,Biome,Coldwater-corals,29
2024,WLD,All,Total,8.5
2024,ABW,All,Total,1.4
2024,AFG,All,Total,0
2024,AGO,All,Total,0
2024,AIA,All,Total,0
2024,ALA,All,Total,0.1
2024,ALB,All,Total,0
2024,AND,All,Total,3.4
2024,ARE,All,Total,0
2024,ARG,All,Total,12
2024,ARM,All,Total,12
2024,ASM,All,Total,0
2024,ATA,All,Total,8.7
2024,ATF,All,Total,0
2024,ATG,All,Total,87.3
2024,AUS,All,Total,0.7
2024,AUT,All,Total,45.4
2024,AZE,All,Total,0
2024,BDI,All,Total,1.1
2024,BEL,All,Total,0
2024,BEN,All,Total,38.3
2024,BES,All,Total,0
2024,BFA,All,Total,100
2024,BGD,All,Total,0
2024,BGR,All,Total,8
2024,BHR,All,Total,8.2
2024,BHS,All,Total,21.4
2024,BIH,All,Total,7.7
2024,BLM,All,Total,0
2024,BLR,All,Total,98.2
2024,BLZ,All,Total,0
2024,BMU,All,Total,12.4
2024,BOL,All,Total,0
2024,BRA,All,Total,0
2024,BRB,All,Total,26.7
2024,BRN,All,Total,0.1
2024,BTN,All,Total,0
2024,BVT,All,Total,0
2024,BWA,All,Total,0
2024,CAF,All,Total,0
2024,CAN,All,Total,0
2024,CCK,All,Total,14.7
2024,CHE,All,Total,99.9
2024,CHL,All,Total,0
2024,CHN,All,Total,41.2
2024,CIV,All,Total,4.8
2024,CMR,All,Total,0.1
2024,COD,All,Total,11.4
2024,COG,All,Total,0.5
2024,COK,All,Total,3.5
2024,COL,All,Total,100
2024,COM,All,Total,48
2024,CPV,All,Total,0.4
2024,CRI,All,Total,0.1
2024,CUB,All,Total,28.4
2024,CUW,All,Total,4.2
2024,CXR,All,Total,0
2024,CYM,All,Total,84.5
2024,CYP,All,Total,0.1
2024,CZE,All,Total,8.6
2024,DEU,All,Total,0
2024,DJI,All,Total,45.4
2024,DMA,All,Total,0.2
2024,DNK,All,Total,0.1
2024,DOM,All,Total,18.6
2024,DZA,All,Total,13.3
2024,ECU,All,Total,0.1
2024,EGY,All,Total,19.3
2024,ERI,All,Total,4.6
2024,ESH,All,Total,0
2024,ESP,All,Total,0
2024,EST,All,Total,12.8
2024,ETH,All,Total,19.3
2024,FIN,All,Total,0
2024,FJI,All,Total,11.8
2024,FLK,All,Total,0.9
2024,FRA,All,Total,0
2024,FRO,All,Total,49.8
2024,FSM,All,Total,0
2024,GAB,All,Total,0
2024,GBR,All,Total,26.9
2024,GEO,All,Total,46.8
2024,GGY,All,Total,0.7
2024,GHA,All,Total,0.9
2024,GIB,All,Total,0.1
2024,GIN,All,Total,0
2024,GLP,All,Total,0.6
2024,GMB,All,Total,99.5
2024,GNB,All,Total,0.6
2024,GNQ,All,Total,9.1
2024,GRC,All,Total,0.3
2024,GRD,All,Total,4.7
2024,GRL,All,Total,0.1
2024,GTM,All,Total,4.2
2024,GUF,All,Total,0.9
2024,GUM,All,Total,0.6
2024,GUY,All,Total,0
2024,HKG,All,Total,0.1
2024,HMD,All,Total,0
2024,HND,All,Total,16.9
2024,HRV,All,Total,4.9
2024,HTI,All,Total,9.3
2024,HUN,All,Total,1.8
2024,IDN,All,Total,0
2024,IMN,All,Total,3
2024,IND,All,Total,10.8
2024,IRL,All,Total,0.3
2024,IRN,All,Total,2.4
2024,IRQ,All,Total,0.9
2024,ISL,All,Total,0.3
2024,ISR,All,Total,0.5
2024,ITA,All,Total,0.6
2024,JAM,All,Total,10.7
2024,JEY,All,Total,0.7
2024,JOR,All,Total,8
2024,JPN,All,Total,2.8
2024,KAZ,All,Total,13.8
2024,KEN,All,Total,52.5
2024,KGZ,All,Total,0.6
2024,KHM,All,Total,0
2024,KIR,All,Total,1.5
2024,KNA,All,Total,11.9
2024,KOR,All,Total,4.5
2024,KWT,All,Total,2.2
2024,LAO,All,Total,3.2
2024,LBN,All,Total,0
2024,LBR,All,Total,0.2
2024,LBY,All,Total,0.1
2024,LCA,All,Total,0.6
2024,LIE,All,Total,0.3
2024,LKA,All,Total,0
2024,LSO,All,Total,0.1
2024,LTU,All,Total,0
2024,LUX,All,Total,23.2
2024,LVA,All,Total,0
2024,MAF,All,Total,16.4
2024,MAR,All,Total,97
2024,MCO,All,Total,0.3
2024,MDA,All,Total,100
2024,MDG,All,Total,0
2024,MDV,All,Total,0.9
2024,MEX,All,Total,0.1
2024,MHL,All,Total,22.2
2024,MKD,All,Total,0.3
2024,MLI,All,Total,0
2024,MLT,All,Total,0
2024,MMR,All,Total,7.8
2024,MNE,All,Total,0.5
2024,MNG,All,Total,5.6
2024,MNP,All,Total,0
2024,MOZ,All,Total,32.4
2024,MRT,All,Total,2.2
2024,MSR,All,Total,3.7
2024,MTQ,All,Total,0
2024,MUS,All,Total,100
2024,MWI,All,Total,0
2024,MYS,All,Total,0
2024,MYT,All,Total,4.8
2024,NAM,All,Total,100
2024,NCL,All,Total,1.7
2024,NER,All,Total,100
2024,NFK,All,Total,0
2024,NGA,All,Total,43.8
2024,NIC,All,Total,0
2024,NIU,All,Total,3.6
2024,NLD,All,Total,40.7
2024,NOR,All,Total,33.6
2024,NPL,All,Total,1
2024,NRU,All,Total,0
2024,NZL,All,Total,0
2024,OMN,All,Total,30.4
2024,PAK,All,Total,16.2
2024,PAN,All,Total,1.2
2024,PCN,All,Total,26.3
2024,PER,All,Total,100
2024,PHL,All,Total,7.9
2024,PLW,All,Total,3.4
2024,PNG,All,Total,98
2024,POL,All,Total,0.1
2024,PRI,All,Total,24
2024,PRK,All,Total,1.9
2024,PRT,All,Total,0
2024,PRY,All,Total,16.8
2024,PSE,All,Total,0
2024,PYF,All,Total,0
2024,QAT,All,Total,0
2024,REU,All,Total,2.3
2024,ROU,All,Total,0
2024,RUS,All,Total,22.1
2024,RWA,All,Total,2.2
2024,SAU,All,Total,0
2024,SDN,All,Total,3.6
2024,SEN,All,Total,17
2024,SGP,All,Total,2.2
2024,SGS,All,Total,0
2024,SHN,All,Total,99.9
2024,SJM,All,Total,95.9
2024,SLB,All,Total,7.8
2024,SLE,All,Total,0.1
2024,SLV,All,Total,1.7
2024,SOM,All,Total,0.8
2024,SPM,All,Total,0
2024,SRB,All,Total,0.1
2024,SSD,All,Total,0
2024,STP,All,Total,0
2024,SUR,All,Total,0
2024,SVK,All,Total,1.5
2024,SVN,All,Total,0
2024,SWE,All,Total,2.9
2024,SWZ,All,Total,16.1
2024,SXM,All,Total,0
2024,SYC,All,Total,5.1
2024,SYR,All,Total,32.6
2024,TCA,All,Total,0.2
